year,discovery_date,fire_name,fire_size_acres,fire_type,average_distance_miles,listed_dates,days_burning
1977,1977-08-31,WHITE PINE (2),0.021209089929724288,Wildfire,514.870254775716,Listed Wildfire Discovery Date(s): 1977-08-31 (1) | Listed Wildfire Controlled Date(s): 1977-08-31 (1) | Listed Wildfire Out Date(s): 1977-08-31 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),61
1978,1978-10-25,OLD RAG (2),821.8668274641834,Wildfire,370.84731500413335,"Listed Wildfire Discovery Date(s): 1978-10-25 (1), 1978-10-24 (1) | Listed Wildfire Controlled Date(s): 1978-11-15 (1), 1978-10-24 (1) | Listed Wildfire Out Date(s): 1978-12-15 (2) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (2) | Listed Upload Date(s): 2016-03-23 (2)",6
1978,1978-10-31,xx NONE xx (2),132.104798689945,Wildfire,512.1024208813427,Listed Wildfire Discovery Date(s): 1978-10-31 (1) | Listed Wildfire Controlled Date(s): 1978-10-31 (1) | Listed Wildfire Out Date(s): 1978-11-02 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),0
1978,1978-10-29,WHITEOAK (2),29.83193258351251,Wildfire,372.91205712962227,Listed Wildfire Discovery Date(s): 1978-10-29 (1) | Listed Wildfire Controlled Date(s): 1978-11-05 (1) | Listed Wildfire Out Date(s): 1978-12-05 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),2
1978,1978-10-28,xx NONE xx (2),9.975233993814273,Wildfire,520.2223743040641,Listed Wildfire Discovery Date(s): 1978-10-28 (1) | Listed Wildfire Controlled Date(s): 1978-10-31 (1) | Listed Wildfire Out Date(s): 1978-11-01 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),3
1978,1978-05-01,BIG MEADOW (2),4.9719081436871155,Wildfire,378.18258535101137,Listed Wildfire Discovery Date(s): 1978-05-01 (1) | Listed Wildfire Controlled Date(s): 1978-05-01 (1) | Listed Wildfire Out Date(s): 1978-05-30 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),183
1978,1978-05-19,xx NONE xx (2),3.636111181070426,Wildfire,516.6972723889846,Listed Wildfire Discovery Date(s): 1978-05-19 (1) | Listed Wildfire Controlled Date(s): 1978-05-19 (1) | Listed Wildfire Out Date(s): 1978-05-19 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),165
1978,1978-10-26,JOLLET (2),0.9945105532438798,Wildfire,382.7875517543938,Listed Wildfire Discovery Date(s): 1978-10-26 (1) | Listed Wildfire Controlled Date(s): 1978-10-26 (1) | Listed Wildfire Out Date(s): 1978-10-31 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),5
1978,1978-09-21,xx NONE xx (2),0.10253960076806912,Wildfire,519.3297316513914,Listed Wildfire Discovery Date(s): 1978-09-21 (1) | Listed Wildfire Controlled Date(s): 1978-09-21 (1) | Listed Wildfire Out Date(s): 1978-09-21 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1),40
1978,1978-09-16,BEARFENCE (2),0.09945843951961693,Wildfire,382.01910861922784,Listed Wildfire Discovery Date(s): 1978-09-16 (1) | Listed Wildfire Controlled Date(s): 1978-09-17 (1) | Listed Wildfire Out Date(s): 1978-09-18 (1) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1),45
