year,discovery_date,fire_name,fire_size_acres,fire_type,average_distance_miles,listed_dates,days_burning,smoke_impact,normalized_smoke_impact
2007,2007-09-27,JBU18 (2),0.0700998276240534,Wildfire,103.97940437108704,Listed Wildfire Discovery Date(s): 2007-09-27 (1) | Listed Wildfire Controlled Date(s): 2007-09-27 (1) | Listed Wildfire Out Date(s): 2007-09-27 (1) | Listed Other Fire Date(s): 2017-12-01 - NIFC DATE_CUR field (1) | Listed Upload Date(s): 2014-03-17 (1),34,0.00022044548910086787,0.0002204211945643838
2007,2007-07-07,Stull Run (5),0.0580584054951871,Wildfire,405.2888534246161,"Listed Wildfire Discovery Date(s): 2007-07-07 (2) | Listed Wildfire Controlled Date(s): 2007-07-07 (2) | Listed Wildfire Out Date(s): 2007-07-08 (2) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (2), 2012-02-29 - DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1)",116,4.100093629128779e-05,4.100009577587394e-05
2007,2007-08-06,JBU16 (2),0.0577532080795352,Wildfire,101.95530150357638,"Listed Wildfire Discovery Date(s): 2007-08-06 (1), 2007-08-05 (1) | Listed Wildfire Controlled Date(s): 2007-08-06 (1), 2007-08-05 (1) | Listed Wildfire Out Date(s): 2007-08-06 (1), 2007-08-05 (1) | Listed Other Fire Date(s): 2017-12-01 - NIFC DATE_CUR field (2) | Listed Upload Date(s): 2014-03-07 (2)",86,0.00047780967363428463,0.00047769555894079804
2007,2007-08-15,Bushy Top (5),0.0385291931300353,Wildfire,372.3179952624323,"Listed Wildfire Discovery Date(s): 2007-08-15 (2) | Listed Wildfire Controlled Date(s): 2007-08-18 (2) | Listed Wildfire Out Date(s): 2007-08-18 (2) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (2), 2012-02-29 - DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1)",77,2.1401912511429768e-05,2.14016834937678e-05
2007,2007-10-03,JBU19 (2),0.0266280604640758,Wildfire,97.2362784032068,"Listed Wildfire Discovery Date(s): 2007-10-03 (1), 2007-02-08 (1), 2007-01-20 (1) | Listed Wildfire Controlled Date(s): 2007-10-03 (1), 2007-02-08 (1), 2007-01-20 (1) | Listed Wildfire Out Date(s): 2007-10-03 (1), 2007-02-08 (1), 2007-01-20 (1) | Listed Other Fire Date(s): 2017-12-01 - NIFC DATE_CUR field (3) | Listed Upload Date(s): 2014-03-17 (2), 2014-03-07 (1)",28,7.885711947613209e-05,7.885401041693262e-05
2008,2008-06-10,Hot Fire (2),456.3215670925048,Wildfire,354.5719214314254,Listed Wildfire Discovery Date(s): 2008-06-10 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),143,0.5190370395510039,0.418076607484223
2008,2008-05-08,Powell Mtn (5),9.425455349576051,Wildfire,382.6973049733614,"Listed Wildfire Discovery Date(s): 2008-05-08 (2) | Listed Wildfire Controlled Date(s): 2008-05-08 (2) | Listed Wildfire Out Date(s): 2008-05-15 (2) | Listed Other Fire Date(s): 2017-03-13 - NIFC DATE_CUR field (2), 2012-02-29 - DATE_CUR field (1) | Listed Upload Date(s): 2016-03-23 (1)",176,0.01132672093317976,0.011263053937429303
2008,2008-05-07,Mines Run (2),7.307413415505668,Wildfire,412.3211868847785,Listed Wildfire Discovery Date(s): 2008-05-07 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),177,0.007607914826062012,0.007579120592562808
2008,2008-06-27,Buzzard (2),4.995293865706396,Wildfire,434.5769250458947,Listed Wildfire Discovery Date(s): 2008-06-27 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),126,0.003332715658948087,0.003327174470174297
2008,2008-06-02,Tower (2),4.991622798579979,Wildfire,363.8196650118233,Listed Wildfire Discovery Date(s): 2008-06-02 (1) | Listed Other Fire Date(s): 1899-12-30 - REVDATE field (1),151,0.005694378981389586,0.0056782272922821
